pdf_name,polarity
COMBINED-Q4-17-Shareholder-Letter-FINAL,0.23
FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,0.58
FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,0.57
FINAL_Q3_Letter,0.41
FINAL-Q1-18-Shareholder-Letter,0.58
FINAL-Q1-19-Shareholder-Letter,0.6
FINAL-Q1-20-Shareholder-Letter,0.5
FINAL-Q1-21-Shareholder-Letter,0.52
FINAL-Q1-22-Shareholder-Letter,0.31
Final-Q1-23-Shareholder-Letter,0.12
FINAL-Q2-18-Shareholder-Letter,0.26
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,0.54
FINAL-Q2-21-Shareholder-Letter,0.47
FINAL-Q2-22-Shareholder-Letter,0.1
FINAL-Q2-23-Shareholder-Letter,0.15
FINAL-Q3-18-Shareholder-Letter,0.4
FINAL-Q3-19-Shareholder-Letter,0.44
FINAL-Q3-20-Shareholder-Letter,0.55
FINAL-Q3-21-Shareholder-Letter,0.6
FINAL-Q3-22-Shareholder-Letter,0.1
FINAL-Q4-18-Shareholder-Letter,0.23
FINAL-Q4-19-Shareholder-Letter,0.29
FINAL-Q420-Shareholder-Letter,0.52
FINAL-Q4-21-Shareholder-Letter,0.47
FINAL-Q4-22-Shareholder-Letter,0.16
Investor_Letter_Q12013,0.21
Investor-Letter-Q1-2012,-0.05
Investor-Letter-Q2-2012-07.24.12,0.34
Investor-Letter-Q3-2011,0.03
Investor-Letter-Q3-2012-10.23.12,0.35
Investor-Letter-Q4-2011,-0.08
Investor-Letter-Q42012-01.23.13,0.26
July2014EarningsLetter_7.21.14_final,0.38
July-Investor-Letter-1130am,0.18
Q1_15_Earnings_Letter_final_tables,0.44
Q1-11-Letter-to-shareholders,0.31
Q114-Earnings-Letter-4.21.14-final,0.28
Q116LettertoShareholders_W_TABLES_,0.53
Q117ShareholderLetterV2FINAL,0.49
Q2_17_Shareholder_Letter,0.26
Q213-Investor-Letter,0.45
Q216LettertoShareholders_FINAL_w_Tables,0.37
Q2-19-Shareholder-Letter-FINAL,0.49
Q3_14_Letter_to_shareholders,0.34
Q3_17_Shareholder_Letter_COMBINED,0.31
Q313-Earnings-Letter-10.21.13-10.30am,0.4
Q4_14_Letter_to_shareholders,0.24
Q4_15_Letter_to_Shareholders_-_COMBINED,0.55
Q4-13-Letter-to-shareholders,0.23
Q416ShareholderLetter,0.44
