ReportName,Original Post Market Score,Normalised Post Market Score,AverageManualScore
FINAL-Q1-18-Shareholder-Letter,0.5,0.531666666667,0.5
FINAL-Q1-21-Shareholder-Letter,-0.4,-0.08333333332999998,0.4166666667
FINAL-Q1-22-Shareholder-Letter,-0.12857142857142856,0.10214285714528573,-0.08333333333
Final-Q1-23-Shareholder-Letter,0.3,0.395000000001,0.5166666667
FINAL-Q2-18-Shareholder-Letter,0.04,0.21733333333520002,0.3333333333
Q2-19-Shareholder-Letter-FINAL,-0.3,-0.014999999996999996,0.1666666667
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,0.5,0.531666666667,0.3333333333
FINAL-Q2-22-Shareholder-Letter,0.5,0.531666666667,0.3333333333
FINAL-Q2-23-Shareholder-Letter,-0.3,-0.014999999996999996,0.4166666667
Q3_17_Shareholder_Letter_COMBINED,0.5,0.531666666667,0.525
FINAL-Q3-18-Shareholder-Letter,0.44999999999999996,0.4975000000005,0.4166666667
FINAL-Q3-21-Shareholder-Letter,-0.3,-0.014999999996999996,0.5
FINAL-Q3-22-Shareholder-Letter,0.5,0.531666666667,0.4166666667
COMBINED-Q4-17-Shareholder-Letter-FINAL,0.6,0.6000000000000001,0.6
FINAL-Q4-18-Shareholder-Letter,0.1,0.258333333335,0.4166666667
FINAL-Q4-19-Shareholder-Letter,0.3,0.395000000001,0.4166666667
FINAL-Q420-Shareholder-Letter,0.5,0.531666666667,0.5666666667
FINAL-Q4-21-Shareholder-Letter,0.1,0.258333333335,0.25
FINAL-Q4-22-Shareholder-Letter,0.4,0.463333333334,0.3166666667
